iter	Passed	Remaining
0	4	408
1	6	299
2	8	260
3	11	268
4	13	258
5	15	245
6	17	228
7	18	214
8	20	206
9	21	194
10	23	188
11	25	187
12	26	178
13	27	169
14	28	162
15	29	155
16	30	148
17	31	142
18	32	137
19	33	132
20	34	128
21	35	124
22	36	122
23	38	121
24	39	118
25	40	115
26	41	113
27	42	110
28	43	107
29	44	104
30	45	102
31	47	99
32	47	97
33	48	94
34	49	92
35	51	90
36	52	89
37	53	87
38	54	85
39	55	83
40	57	82
41	57	79
42	58	77
43	59	75
44	60	74
45	61	72
46	62	70
47	63	69
48	64	67
49	66	66
50	67	65
51	68	63
52	69	61
53	70	60
54	71	58
55	72	56
56	73	55
57	74	53
58	75	52
59	76	51
60	77	49
61	78	48
62	79	46
63	80	45
64	81	43
65	82	42
66	83	41
67	84	39
68	85	38
69	86	37
70	87	35
71	88	34
72	89	33
73	90	31
74	91	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	99	19
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	6
94	110	5
95	111	4
96	111	3
97	112	2
98	113	1
99	114	0
