iter	Passed	Remaining
0	195	195596
1	200	100066
2	205	68435
3	210	52377
4	213	42423
5	215	35691
6	217	30871
7	219	27246
8	221	24397
9	223	22109
10	224	20214
11	226	18624
12	227	17275
13	228	16126
14	230	15111
15	231	14231
16	232	13460
17	234	12772
18	235	12183
19	237	11624
20	238	11124
21	239	10659
22	241	10244
23	242	9852
24	243	9497
25	244	9173
26	246	8866
27	247	8589
28	248	8326
29	249	8079
30	251	7860
31	252	7641
32	253	7441
33	255	7248
34	256	7063
35	257	6892
36	258	6731
37	259	6581
38	261	6437
39	262	6300
40	263	6169
41	265	6044
42	266	5933
43	267	5821
44	269	5715
45	270	5611
46	271	5509
47	273	5415
48	274	5332
49	276	5250
50	277	5167
51	279	5089
52	280	5012
53	281	4939
54	283	4866
55	284	4797
56	285	4727
57	287	4662
58	288	4600
59	289	4536
60	290	4478
61	292	4423
62	293	4368
63	295	4317
64	296	4265
65	297	4215
66	299	4165
67	300	4116
68	301	4067
69	302	4021
70	303	3976
71	305	3932
72	306	3889
73	307	3846
74	308	3805
75	309	3766
76	311	3729
77	312	3691
78	313	3654
79	314	3617
80	315	3581
81	316	3547
82	317	3507
83	318	3475
84	319	3440
85	320	3409
86	321	3377
87	323	3347
88	324	3317
89	325	3290
90	326	3262
91	327	3235
92	328	3207
93	330	3181
94	331	3156
95	332	3131
96	333	3106
97	334	3081
98	335	3057
99	337	3034
100	338	3010
101	339	2986
102	340	2966
103	341	2946
104	343	2925
105	344	2905
106	345	2884
107	347	2866
108	348	2846
109	349	2827
110	350	2807
111	351	2788
112	352	2769
113	353	2751
114	355	2734
115	356	2719
116	357	2699
117	358	2683
118	360	2667
119	361	2652
120	363	2637
121	364	2622
122	365	2606
123	366	2591
124	368	2576
125	369	2561
126	370	2544
127	371	2530
128	372	2516
129	373	2501
130	375	2489
131	376	2474
132	377	2460
133	378	2446
134	379	2433
135	380	2419
136	382	2406
137	383	2392
138	384	2380
139	385	2367
140	386	2356
141	387	2342
142	388	2330
143	389	2317
144	390	2305
145	391	2292
146	392	2279
147	393	2266
148	394	2254
149	395	2243
150	396	2231
151	397	2219
152	398	2208
153	399	2196
154	400	2185
155	401	2174
156	402	2163
157	404	2153
158	405	2142
159	406	2131
160	406	2119
161	407	2109
162	408	2099
163	409	2089
164	410	2079
165	411	2069
166	412	2059
167	413	2049
168	414	2040
169	416	2031
170	417	2021
171	418	2012
172	419	2003
173	420	1994
174	421	1985
175	422	1976
176	423	1967
177	424	1958
178	425	1949
179	426	1941
180	427	1932
181	427	1923
182	428	1915
183	430	1907
184	431	1901
185	432	1892
186	433	1884
187	434	1876
188	435	1867
189	436	1859
190	437	1851
191	438	1844
192	439	1836
193	440	1829
194	441	1821
195	442	1814
196	443	1806
197	444	1799
198	445	1792
199	446	1786
200	447	1779
201	448	1772
202	449	1765
203	450	1758
204	451	1751
205	452	1744
206	453	1738
207	454	1731
208	455	1724
209	456	1718
210	457	1711
211	458	1705
212	459	1699
213	461	1693
214	462	1687
215	463	1681
216	464	1674
217	465	1668
218	466	1662
219	467	1656
220	468	1650
221	469	1644
222	470	1638
223	471	1632
224	472	1626
225	473	1620
226	474	1615
227	475	1609
228	476	1605
229	477	1599
230	478	1593
231	479	1588
232	480	1582
233	481	1577
234	482	1571
235	483	1566
236	484	1560
237	485	1555
238	486	1549
239	487	1544
240	488	1539
241	490	1535
242	491	1530
243	492	1525
244	493	1520
245	494	1515
246	495	1510
247	496	1504
248	497	1499
249	498	1494
250	499	1489
251	500	1484
252	501	1479
253	502	1474
254	503	1469
255	504	1465
256	505	1460
257	506	1456
258	507	1451
259	508	1446
260	509	1441
261	510	1437
262	511	1432
263	512	1427
264	513	1423
265	514	1418
266	515	1414
267	516	1410
268	517	1405
269	518	1401
270	519	1397
271	520	1393
272	521	1389
273	522	1385
274	523	1380
275	524	1376
276	525	1372
277	526	1368
278	527	1363
279	528	1359
280	529	1355
281	530	1351
282	531	1347
283	532	1342
284	533	1339
285	534	1335
286	535	1331
287	536	1327
288	537	1323
289	538	1319
290	539	1315
291	540	1311
292	542	1307
293	543	1304
294	544	1300
295	545	1296
296	546	1293
297	547	1289
298	548	1285
299	549	1281
300	550	1277
301	551	1274
302	552	1270
303	553	1266
304	554	1262
305	555	1258
306	555	1255
307	556	1251
308	557	1247
309	559	1244
310	560	1240
311	560	1237
312	561	1233
313	563	1230
314	564	1226
315	565	1223
316	566	1220
317	567	1216
318	568	1213
319	569	1209
320	570	1206
321	571	1202
322	572	1199
323	573	1196
324	574	1192
325	575	1189
326	576	1186
327	577	1182
328	578	1179
329	579	1175
330	580	1172
331	581	1169
332	582	1166
333	583	1163
334	584	1160
335	585	1156
336	586	1153
337	587	1150
338	588	1147
339	589	1144
340	590	1140
341	591	1137
342	592	1134
343	593	1131
344	594	1128
345	595	1126
346	596	1123
347	597	1120
348	598	1116
349	599	1113
350	600	1110
351	601	1107
352	602	1104
353	603	1101
354	604	1098
355	605	1095
356	606	1092
357	607	1089
358	608	1086
359	609	1084
360	611	1081
361	612	1078
362	613	1075
363	614	1073
364	615	1070
365	616	1067
366	617	1064
367	618	1061
368	619	1059
369	620	1056
370	621	1053
371	622	1051
372	623	1048
373	624	1045
374	625	1043
375	627	1040
376	628	1037
377	629	1035
378	630	1032
379	631	1029
380	632	1027
381	633	1024
382	634	1021
383	635	1018
384	636	1016
385	637	1013
386	638	1010
387	639	1008
388	640	1005
389	641	1003
390	642	1000
391	643	997
392	644	995
393	645	993
394	646	990
395	647	987
396	648	985
397	649	982
398	650	980
399	651	977
400	652	974
401	653	972
402	654	969
403	655	967
404	656	964
405	657	962
406	658	959
407	659	956
408	660	954
409	661	952
410	662	949
411	663	947
412	664	944
413	665	942
414	666	939
415	667	937
416	668	934
417	669	932
418	670	930
419	671	927
420	672	925
421	673	922
422	674	920
423	675	918
424	676	915
425	677	913
426	678	910
427	679	908
428	680	906
429	681	903
430	682	901
431	683	899
432	685	897
433	686	895
434	687	892
435	688	890
436	689	888
437	690	885
438	691	883
439	692	881
440	693	878
441	694	876
442	695	874
443	696	871
444	697	869
445	698	867
446	699	865
447	700	863
448	701	861
449	702	858
450	703	856
451	704	854
452	705	852
453	706	849
454	707	847
455	708	845
456	709	843
457	710	840
458	711	838
459	712	836
460	713	834
461	714	832
462	715	830
463	716	828
464	717	825
465	718	823
466	719	821
467	720	819
468	721	817
469	722	815
470	723	812
471	724	810
472	725	808
473	726	806
474	727	804
475	728	802
476	730	801
477	731	799
478	732	797
479	734	795
480	735	793
481	736	791
482	737	789
483	738	787
484	739	785
485	740	782
486	741	780
487	742	778
488	743	776
489	744	774
490	745	772
491	746	770
492	747	768
493	748	766
494	749	764
495	750	762
496	751	760
497	752	758
498	753	756
499	754	754
500	755	752
501	756	750
502	757	748
503	758	746
504	759	744
505	760	742
506	761	740
507	762	738
508	763	736
509	764	734
510	765	732
511	766	730
512	767	728
513	768	726
514	769	725
515	770	723
516	771	721
517	772	719
518	773	717
519	775	715
520	776	713
521	777	711
522	778	709
523	779	707
524	780	705
525	781	704
526	782	702
527	783	700
528	784	698
529	785	696
530	786	694
531	787	692
532	788	690
533	789	688
534	790	687
535	791	685
536	792	683
537	793	681
538	794	679
539	795	677
540	796	675
541	797	673
542	798	672
543	799	670
544	800	668
545	801	666
546	802	664
547	803	662
548	804	660
549	805	659
550	806	657
551	807	655
552	808	653
553	809	651
554	810	650
555	811	648
556	812	646
557	813	644
558	814	642
559	815	640
560	816	639
561	817	637
562	818	635
563	819	633
564	820	631
565	821	630
566	822	628
567	823	626
568	824	624
569	825	622
570	826	621
571	827	619
572	828	617
573	829	615
574	830	614
575	831	612
576	832	610
577	833	608
578	834	607
579	835	605
580	836	603
581	837	601
582	838	600
583	840	598
584	841	596
585	841	594
586	842	593
587	843	591
588	844	589
589	845	587
590	846	586
591	848	584
592	849	582
593	850	581
594	851	579
595	852	577
596	853	576
597	854	574
598	855	572
599	856	571
600	857	569
601	858	567
602	859	566
603	860	564
604	862	562
605	863	561
606	864	559
607	865	557
608	866	556
609	867	554
610	868	552
611	869	550
612	870	549
613	871	547
614	872	545
615	873	544
616	874	542
617	875	541
618	876	539
619	877	537
620	878	536
621	879	534
622	880	532
623	881	531
624	882	529
625	883	527
626	884	526
627	885	524
628	886	522
629	887	521
630	888	519
631	889	518
632	890	516
633	891	514
634	892	513
635	893	511
636	894	509
637	895	508
638	896	506
639	897	505
640	898	503
641	899	501
642	900	500
643	901	498
644	903	497
645	904	495
646	904	493
647	905	492
648	906	490
649	907	488
650	908	487
651	909	485
652	911	484
653	912	482
654	913	481
655	915	479
656	916	478
657	917	476
658	918	475
659	919	473
660	920	472
661	921	470
662	923	469
663	924	467
664	926	466
665	927	465
666	928	463
667	929	462
668	930	460
669	932	459
670	933	457
671	934	456
672	935	454
673	936	453
674	937	451
675	939	450
676	940	448
677	942	447
678	943	445
679	944	444
680	945	442
681	946	441
682	947	439
683	948	438
684	950	436
685	951	435
686	952	434
687	954	432
688	955	431
689	956	429
690	957	428
691	958	426
692	960	425
693	961	423
694	962	422
695	963	421
696	965	419
697	966	418
698	967	416
699	968	415
700	969	413
701	971	412
702	972	410
703	973	409
704	974	407
705	975	406
706	977	404
707	978	403
708	979	402
709	981	400
710	982	399
711	983	397
712	984	396
713	985	394
714	987	393
715	988	392
716	989	390
717	991	389
718	992	387
719	993	386
720	994	384
721	995	383
722	996	381
723	997	380
724	999	378
725	1000	377
726	1001	376
727	1003	374
728	1004	373
729	1005	371
730	1006	370
731	1007	368
732	1008	367
733	1009	365
734	1011	364
735	1012	363
736	1013	361
737	1014	360
738	1016	358
739	1017	357
740	1018	356
741	1019	354
742	1020	353
743	1021	351
744	1023	350
745	1024	348
746	1026	347
747	1027	346
748	1028	344
749	1029	343
750	1030	341
751	1032	340
752	1033	338
753	1034	337
754	1035	335
755	1036	334
756	1037	333
757	1038	331
758	1040	330
759	1041	328
760	1042	327
761	1043	325
762	1044	324
763	1045	323
764	1047	321
765	1048	320
766	1049	318
767	1050	317
768	1051	315
769	1053	314
770	1054	313
771	1055	311
772	1056	310
773	1058	308
774	1059	307
775	1060	306
776	1061	304
777	1062	303
778	1064	301
779	1065	300
780	1066	299
781	1067	297
782	1068	296
783	1069	294
784	1070	293
785	1071	291
786	1072	290
787	1073	288
788	1074	287
789	1075	285
790	1076	284
791	1077	283
792	1078	281
793	1079	280
794	1080	278
795	1082	277
796	1083	275
797	1084	274
798	1085	272
799	1086	271
800	1087	270
801	1088	268
802	1089	267
803	1090	265
804	1091	264
805	1092	262
806	1093	261
807	1094	260
808	1095	258
809	1096	257
810	1098	255
811	1099	254
812	1100	253
813	1101	251
814	1102	250
815	1103	248
816	1104	247
817	1105	245
818	1106	244
819	1107	243
820	1108	241
821	1109	240
822	1111	238
823	1112	237
824	1112	236
825	1113	234
826	1114	233
827	1115	231
828	1117	230
829	1118	228
830	1119	227
831	1120	226
832	1121	224
833	1122	223
834	1123	221
835	1124	220
836	1125	219
837	1126	217
838	1127	216
839	1128	214
840	1129	213
841	1130	212
842	1131	210
843	1132	209
844	1133	207
845	1134	206
846	1135	205
847	1136	203
848	1138	202
849	1139	201
850	1140	199
851	1141	198
852	1142	196
853	1143	195
854	1144	194
855	1145	192
856	1146	191
857	1147	189
858	1148	188
859	1149	187
860	1150	185
861	1151	184
862	1152	182
863	1153	181
864	1154	180
865	1155	178
866	1156	177
867	1157	176
868	1158	174
869	1159	173
870	1160	171
871	1161	170
872	1162	169
873	1163	167
874	1164	166
875	1165	165
876	1167	163
877	1168	162
878	1169	160
879	1170	159
880	1171	158
881	1172	156
882	1173	155
883	1174	154
884	1175	152
885	1176	151
886	1177	149
887	1177	148
888	1178	147
889	1180	145
890	1181	144
891	1182	143
892	1183	141
893	1184	140
894	1184	139
895	1185	137
896	1186	136
897	1187	134
898	1188	133
899	1189	132
900	1191	130
901	1192	129
902	1193	128
903	1194	126
904	1195	125
905	1196	124
906	1197	122
907	1198	121
908	1199	120
909	1200	118
910	1201	117
911	1202	115
912	1203	114
913	1204	113
914	1205	111
915	1206	110
916	1207	109
917	1208	107
918	1209	106
919	1210	105
920	1211	103
921	1212	102
922	1213	101
923	1214	99
924	1215	98
925	1216	97
926	1217	95
927	1218	94
928	1219	93
929	1220	91
930	1221	90
931	1222	89
932	1223	87
933	1224	86
934	1225	85
935	1226	83
936	1227	82
937	1228	81
938	1229	79
939	1230	78
940	1231	77
941	1232	75
942	1233	74
943	1234	73
944	1235	71
945	1236	70
946	1237	69
947	1238	67
948	1239	66
949	1240	65
950	1242	63
951	1243	62
952	1244	61
953	1245	60
954	1245	58
955	1246	57
956	1247	56
957	1248	54
958	1249	53
959	1250	52
960	1251	50
961	1252	49
962	1253	48
963	1254	46
964	1256	45
965	1257	44
966	1258	42
967	1259	41
968	1260	40
969	1261	39
970	1261	37
971	1262	36
972	1264	35
973	1265	33
974	1266	32
975	1267	31
976	1268	29
977	1269	28
978	1270	27
979	1271	25
980	1272	24
981	1273	23
982	1274	22
983	1275	20
984	1276	19
985	1277	18
986	1278	16
987	1279	15
988	1280	14
989	1281	12
990	1282	11
991	1283	10
992	1284	9
993	1285	7
994	1286	6
995	1287	5
996	1288	3
997	1289	2
998	1290	1
999	1291	0
